epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
0,0.7238267064094543,0.5424248576164246,0.7715789675712585,0.5072116851806641,0.0010000000474974513
1,0.760028064250946,0.49128782749176025,0.7778947353363037,0.4859096109867096,0.0010000000474974513
2,0.7754713296890259,0.4699186086654663,0.785263180732727,0.47927865386009216,0.0010000000474974513
3,0.7835940718650818,0.4570770263671875,0.7736842036247253,0.4834893047809601,0.0010000000474974513
4,0.7899117469787598,0.4445183277130127,0.7726315855979919,0.48170432448387146,0.0010000000474974513
5,0.801143229007721,0.4308842718601227,0.7778947353363037,0.47661641240119934,0.0010000000474974513
6,0.8052546977996826,0.4194798171520233,0.7705262899398804,0.47968319058418274,0.0010000000474974513
7,0.8095667958259583,0.4078978896141052,0.7652631402015686,0.481435090303421,0.0010000000474974513
8,0.820397138595581,0.3972001373767853,0.7768421173095703,0.48289093375205994,0.0010000000474974513
9,0.822001576423645,0.38748836517333984,0.7673684358596802,0.49112316966056824,0.0010000000474974513
10,0.8277176022529602,0.3789955973625183,0.7705262899398804,0.49489572644233704,0.0010000000474974513
11,0.8329322338104248,0.36614641547203064,0.7705262899398804,0.4883796274662018,0.0010000000474974513
12,0.8471720814704895,0.3426961898803711,0.7736842036247253,0.49597787857055664,0.0005000000237487257
13,0.8565984964370728,0.33378365635871887,0.7684210538864136,0.5021724700927734,0.0005000000237487257
14,0.8608102798461914,0.3276596963405609,0.769473671913147,0.5041232705116272,0.0005000000237487257
15,0.8589049577713013,0.31991714239120483,0.7663158178329468,0.5005754232406616,0.0005000000237487257
16,0.8629161715507507,0.31369030475616455,0.7642105221748352,0.5052249431610107,0.0005000000237487257
17,0.8693341612815857,0.3077201545238495,0.7610526084899902,0.5030965805053711,0.0005000000237487257
18,0.8766546249389648,0.296570360660553,0.7642105221748352,0.5039218664169312,0.0002500000118743628
19,0.8842759728431702,0.28504836559295654,0.7652631402015686,0.508139431476593,0.0002500000118743628
20,0.8813678026199341,0.28646790981292725,0.7621052861213684,0.5087783932685852,0.0002500000118743628
